trials_2.thisTrialN,trials_2.stepSize,trials_2.intensity,polygon.started,grating.started,key_resp.started,polygon.stopped,grating.stopped,corrAns,tilt,key_resp.corr,trials_2.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate
0,2,10,18.9521873,19.4699608,19.4699608,19.4882902,19.7724193,right,10,1,1,1.6643861,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
1,2,8,21.1548924,21.6546376,21.6546376,21.6546376,21.9556869,left,-8,1,1,0.8035776,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
2,2,6,22.4881786,22.9890067,22.9890067,22.9890067,23.2877896,left,-6,1,1,0.5995931,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
3,2,4,23.6216737,24.1054917,24.1054917,24.1220052,24.4058175,right,4,1,1,0.5474072,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
4,1,2,24.6724646,25.172145,25.172145,25.172145,25.4724764,left,-2,0,0,1.7037079,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
5,1,3,26.9048857,27.4054399,27.4054399,27.4054399,27.7058646,left,-3,1,1,1.0457978,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
6,1,3,28.4714425,28.9547194,28.9547194,28.9721626,29.2550575,right,3,1,1,0.9554325,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
7,1,3,29.9382702,30.4218925,30.4218925,30.4372389,30.7220402,left,-3,1,1,1.2121875,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
8,1,2,31.6537989,32.1551804,32.1551804,32.1551804,32.4552385,right,2,1,1,0.8081197,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
9,0.5,2,32.9867161,33.4717822,33.4717822,33.4875414,33.7721723,left,-2,0,0,1.4270764,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
10,0.5,2.5,34.9210292,35.4050508,35.4050508,35.4216097,35.7040191,right,2.5,1,1,0.9617657,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
11,0.5,2.5,36.3877027,36.8708681,36.8708681,36.8880595,37.1717484,left,-2.5,0,0,1.0028963,1,1,2023-09-05_21h48.52.014,staircase,2023.1.3,59.6554065
